Company Name,Company rating,Company reviews,Company salaries,Location,Number of Employees,Industry Type,Company Description
Capgemini,3.8,68.2K,19.7K,9 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"At Capgemini, we are driven by a shared purpose: Unleashing human energy through technology for an inclusive and sustainable future. As a leading strategic partner to companies around the world, we have leveraged technology to enable business transformation for more than 50 years. We address the entire breadth of business needs, from strategy and design to managing operations. To do this, we draw on deep industry expertise and a command of the fast-evolving fields of cloud, data artificial intelligence, connectivity, software, digital engineering, and platforms."
US Navy,3.7,27.4K,42.8K,25 office locations in United States,1001 to 5000 Employees,National Agencies,"Americas Navy is the most versatile branch of the military, forging defense on land, in the air, and at sea. With opportunities across the globe and a commitment to serve the greater good, the Navy offers a life of fulfillment, advancement, and innovation to every Sailor."
Citi,3.9,30.9K,30.6K,26 office locations in United States,10000+ Employees,Investment & Asset Management,"Citi is more than a global financial services company. Its an engine for progress. Join us, and youll have the chance to get involved in progress in all its shapes and forms, right across the world. From the micro to the macro, from Australia to Zambia, the work we do has real positive impact. Wherever you are and whatever you do, progress starts here. Weve built a world famous, trusted brand over 200 years of continuously evolving financial services. And today, our influence continues to grow: with financial operations in 160 countries and 100 currencies. We have 200 million different clients, including some of the biggest names in the industries, sectors, businesses and governments that we serve every day. It all adds up to an exciting place to be for talented, ambitious people who want to build a truly remarkable career. Build your careers with Citi and be surrounded by brilliant minds - experts in their fields and you'll be able to draw on a huge variety and history of industry knowledge. Our business thrives even in the most challenging times, and our colleagues enjoy all the benefits that come with a truly global presence and deep client commitment. We offer a huge range of opportunities, for all experience levels. To find out more about the roles available in your region and apply, please visit www.jobs.citi.com"
Meta,3.9,14.8K,39.7K,16 office locations in United States,10000+ Employees,Internet & Web Services,"The Facebook company is now Meta. Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology."
US Air Force,4.1,26K,39.1K,40 office locations in United States,10000+ Employees,National Agencies,"We believe that each of us has the power to make an impact. Thats why we put our team members at the center of everything we do. If youre looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, were looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us."
Dell Technologies,4.3,32.2K,25.2K,23 office locations in United States,10000+ Employees,Information Technology Support Services,"HCLTech is a global technology company, home to 225,900+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Our purpose is to bring together the best of technology and our people to supercharge progress. Were supercharging progress for everyone, everywhere  our clients, partners and their stakeholders, our people, communities, and the planet. Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments. As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040. We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management. Were powered by our people  a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving. Consolidated revenues as of 12 months ending March 2023 totaled $12.6 billion. To learn how we can supercharge progress for you, visit hcltech.com"
HCLTech,3.7,39.8K,26.5K,25 office locations in United States,10000+ Employees,Computer Hardware Development,"You know who you are and youre good at it. You never settle for good enough. Thats why we want you at Capital One. Were doing some bold, transformative things here. Like changing banking for good. Whats in it for you? A career surrounded by brilliant minds. People from different backgrounds, experiences and education levels. Coming together to create a sense of belonging. Supporting you where you are and where you want to be. And the chance to create real, impactful work that matterswithout giving up your life or integrity to achieve it. Thats life at Capital One."
Capital One,4.2,14.9K,30.5K,27 office locations in United States,10000+ Employees,Banking & Lending,"Enterprise Holdings is a leading mobility solutions company worldwide. It features a comprehensive network of brands and independent regional subsidiaries, which offer car and truck rental, vanpooling and carsharing services, car sales, fleet management and much more."
Enterprise,3.6,23.4K,24.8K,United States,10000+ Employees,Car & Truck Rental,"Nordstrom, Inc. is a leading fashion retailer based in the U.S. Founded in 1901 as a shoe store in Seattle, today Nordstrom operates 355 stores in 40 states, including 100 full-line stores in the United States and Canada; 248 Nordstrom Rack stores; two clearance stores; and five Nordstrom Local service hubs. Additionally, customers are served online through Nordstrom.com, Nordstrom.ca, & Nordstromrack.com. Nordstrom, Inc.'s common stock is publicly traded on the NYSE under the symbol JWN."
Nordstrom,3.7,22.1K,26.4K,"1700 7th Ave., Ste. 1500, Seattle WA 98101",10000+ Employees,"Department, Clothing & Shoe Stores",
