Company Name,Company rating,Company reviews,Company salaries,Location,Number of Employees,Industry Type,Company Description
Warner Bros. Discovery,3.8,3.2K,4.7K,7 office locations in United States,10000+ Employees,Film Production,"Every great story has a new beginning. We're excited to announce that Discovery and WarnerMedia have combined to become Warner Bros. Discovery. We're a premier global media and entertainment company offering audiences the world's most differentiated and complete portfolio of content, brands and franchises across television, film, sports, news, streaming and gaming. Our mission is simple. To be the worlds best storytellers with world-class products for consumers."
Duke University,4.1,3.1K,6.2K,4 office locations in United States,10000+ Employees,Colleges & Universities,"Duke University is home to nearly 15,000 Blue Devils who attend undergraduate- and graduate-level classes in 10 schools and colleges. Trinity College of Art and Sciences, the Fuqua School of Business, and the Pratt School of Engineering are among the most well known; its law and medical schools are also highly regarded nationally. The private institution has an endowment of about $5 billion and a student-teacher ratio of 8:1. Notable alumni include Richard Nixon, Melinda French Gates, Elizabeth Dole, and talk show host Charlie Rose. Founded in 1838 as Trinity College, Duke adopted its present name in 1924 after American Tobacco Co. magnate James Duke established the Duke Endowment."
Massachusetts General Hospital,4.0,2.7K,6.3K,14 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"Massachusetts General Hospital (Mass General) is hardly general. The 200-year-old acute care hospital is Harvard Medical School's original and largest teaching hospital. With some 900 beds, Mass General has its main campus in Boston and operates several health centers in surrounding communities. Its specialized medical departments include cancer, cardiology and heart surgery, neurology and neurosurgery, and diabetes and endocrinology. As a leading research facility, Mass General hosts a gaggle of clinical trials and has an annual research budget approaching $700 million. The hospital is a founding member of the Partners HealthCare System (along with Brigham and Women's)."
Greystar,3.9,3.3K,5.5K,31 office locations in United States,10000+ Employees,Real Estate,"Greystar was founded in 1993 with just under 9,000 unites under management and has grown to be the Global Leader in Rental Housing by: - Providing industry-leading services for institutional owners and investors globally. - Establishing a lasting presence in desirable real estate markets by hiring and leveraging the talents of the best and local industry professionals. - Ensuring all our business segments work closely together to capitalize on the inevitable cycles and changes in real estate markets. - Investing in and developing projects to meet the growing demand for rental housing around the world, while constantly innovating to help establish the highest standards for our industry. Today, we are the largest rental housing operator and developer in the US and one of the largest global investment management companies, delivering industry-leading services to investors, clients and residents. Privacy Policy: https://www.greystar.com/privacy DMCA: https://www.greystar.com/terms-of-use#Copyright%20Infringement%20Policy"
Mars,4.3,4.8K,2.9K,4 office locations in United States,10000+ Employees,Food & Beverage Manufacturing,"A Mars career opens up an exciting world of opportunities. Whether youre looking for a dynamic career path, or if you want to become an expert in your field - the possibilities are endless. Spanning different geographies, business segments and functions, wherever we find ourselves throughout the 80+ countries we operate in, our mission and sense of community is global. We are motivated by the same purpose; to work together today for a better future tomorrow. With a family of Associates - over 125,000-strong and growing - working to take Mars even further, we support their personal and professional development by providing access to stretch tasks and the freedom to explore what energizes them. We also support each other, our culture is relationship-driven, and all of this enables us to produce some of the worlds best-loved brands across four distinct segments - Mars Petcare, Mars Wrigley Confectionery, Mars Food and Mars Edge."
DocuSign,3.7,3K,3.3K,4 office locations in United States,5001 to 10000 Employees,Information Technology Support Services,"DocuSign helps organizations connect and automate how they navigate their systems of agreement. As part of its industry leading product lineup, DocuSign offers eSignature, the world's #1 way to sign electronically on practically any device, from almost anywhere, at any time. Today, over a million customers and more than a billion users in over 180 countries use the DocuSign platform to accelerate the process of doing business and simplify people's lives."
Cyient,3.6,3.2K,6.5K,8 office locations in United States,10000+ Employees,Information Technology Support Services,"Cyient is a global engineering and technology solutions company. We engage with customers across their value chain helping to design, build, operate, and maintain the products and services that make them leaders and respected brands in their industries and markets. Customers draw on Cyients expertise in engineering, manufacturing, and digital technology to deliver and support their next-generation solutions that meet the highest standards of safety, reliability, and performance. Our Capabilities: Engineering Manufacturing Digital Semiconductor Geospatial We deliver our services and solutions to a diversified base of over 300 customers, including 29 Fortune 500 companies, across multiple industries. We leverage the experience of 16,000+ associates in 19 countries, combine global delivery with local relationships, invest in the power of ideas, and"
In-N-Out Burger,4.3,4K,4.6K,United States,10000+ Employees,Restaurants & Cafes,"Made-to-order hamburgers are in and franchising is out at In-N-Out Burger. The company owns and operates about 250 popular burger joints located primarily in California. The chain's menu features just four basic items -- hamburgers, cheeseburgers, the Double-Double (two patties and two slices of cheese), and french fries -- but patrons are free to customize how their hamburger is prepared. The chain famously does not use microwaves, heat lamps, or freezers, and it has no franchise operators. In-N-Out does offer on-site catering for parties and events with its In-N-Out Cookout Trailers. Harry and Esther Snyder started the family-owned company in 1948."
Juniper Networks,4.3,4K,4.3K,17 office locations in United States,5001 to 10000 Employees,Telecommunications Services,"This is Junipers moment. Were changing whats possible in networking and were just getting started. Were going beyond building the networks customers expect  were building the networks customers deserve. Change in our industry is accelerating. To power connections and empower change, we need radical thinkers, eternal optimists, and energized personalities. We need people like you.  Vision: We are driven by experience. We strive to deliver a simplified experience for those who run networks and those who depend on them. We are relentlessly focused on putting our customers  the network architects, builders and operators  at the center of all that we do, so that their customers  the team connecting on Zoom, the associate using a scanner in a store, the student during their online class - are as happy and productive as possible. It all starts with software innovation. From Junos to Apstra and Paragon to Mist AI, we push the envelope on predictability, programmability, automation, and insights. By making experience the top priority, our customers can build agile networks that transcend their customers expectations. As a company, we are dedicated to dramatically simplifying network operations and driving superior experiences for customers and end users. Our solutions deliver industry-leading insight, automation, security and AI to drive real business results. We believe that powering connections will bring us closer together and empower us all to solve the worlds greatest challenges of well-being, sustainability and equality. We are bold. We build trust. We deliver excellence. This is the Juniper way."
Gilead Sciences,3.9,1.9K,6.6K,12 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"Gilead Sciences, Inc. is a biopharmaceutical company that has pursued and achieved breakthroughs in medicine for more than three decades, with the goal of creating a healthier world for all people. The company is committed to advancing innovative medicines to prevent and treat life-threatening diseases, including HIV, viral hepatitis and cancer. Gilead operates in more than 35 countries worldwide, with headquarters in Foster City, California."
Brigham Young University (BYU),4.5,4.3K,5.3K,3 office locations in United States,1001 to 5000 Employees,Colleges & Universities,"Mormons looking for an education don't have to look far -- they can go to Brigham Young University (BYU), where they can get schooling based on the values of The Church of Jesus Christ of Latter-Day Saints (also known as the Mormons). Through 10 colleges, the Mormon-owned university offers bachelor's degrees in some 190 academic programs, master's in nearly 65, doctorates in another 25, and a juris doctorate. Its enrollment includes about 33,000 students, with more than 97% identifying themselves as Mormon; the student-teacher ratio is 21:1. BYU was founded in 1875 by Brigham Young, who led some 3,500 church members fleeing religious persecution to found their own settlement in Salt Lake City."
Avanade,4.2,4.8K,2.9K,23 office locations in United States,10000+ Employees,Information Technology Support Services,"Avanade is the leading provider of innovative digital, cloud and advisory services, industry solutions and design-led experiences across the Microsoft ecosystem. Every day, our 56,000 professionals in 26 countries make a genuine human impact for our clients, their employees and their customers. We have been recognized as Microsofts Global SI Partner of the Year more than any other company. With the most Microsoft certifications (60,000+) and 18 (out of 18) Gold-level Microsoft competencies, we are uniquely positioned to help businesses grow and solve their toughest challenges. We are a people first company, committed to providing an inclusive workplace where employees feel comfortable being their authentic selves. As a responsible business, we are building a sustainable world and helping young people from underrepresented communities fulfil their potential. Majority owned by Accenture, Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation. Learn more at www.avanade.com/career"
Arby's,3.5,3.6K,5.5K,United States,10000+ Employees,Restaurants & Cafes,"Founded in 1964, Arby's is the second-largest sandwich restaurant brand in the world with more than 3,500 restaurants in nine countries. Arby's celebrates the art of Meatcraft® with a variety of high-quality proteins and innovative, crave-able sides, such as Curly Fries and Jamocha shakes. Arby's Fast Crafted® restaurant services feature a unique blend of quick-serve speed combined with the quality and made-for-you care of fast casual."
First Student,3.9,4K,3.5K,26 office locations in United States,10000+ Employees,Taxi & Car Services,"First Student knows that a student's first assignment is to get to school, safely and on time. Together, First Student and sister company FirstCanada transport about five million students to and from their classrooms every day via a fleet of some 44,000 buses. As North America's #1 school bus business, they operate from a network of 500-plus locations, spanning 39 states in the US and seven provinces in Canada. In addition to transportation, the company offers a slew of ancillary services, including preventative maintenance, fuel (its storage and purchase), route optimization, used bus sales, and more. First Student is a subsidiary of FirstGroup America, which is a unit of UK bus and train operator FirstGroup."
Six Flags,3.5,3.8K,4.2K,25 office locations in United States,1001 to 5000 Employees,Culture & Entertainment,"Six Flags Entertainment Corporation is the worlds largest regional theme park company with $1.2 billion in revenue and 18 parks across North America. The company operates 16 parks in the United States, one in Mexico City and one in Montreal, Canada. For more than 53 years, Six Flags has entertained millions of families with world-class coasters, themed rides, thrilling water parks and unique attractions including up-close animal encounters, Fright Fest® and Holiday in the Park®."
Ralph Lauren,3.8,3.9K,4.1K,2 office locations in United States,10000+ Employees,Other Retail Stores,"Ralph Lauren Corporation (NYSE:RL) is a global leader in the design, marketing and distribution of premium lifestyle products in five categories: apparel, accessories, home, fragrances, and hospitality. For more than 50 years, Ralph Lauren's reputation and distinctive image have been consistently developed across an expanding number of products, brands and international markets. The Company's brand names, which include Ralph Lauren, Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Ralph Lauren Children, Chaps, and Club Monaco, among others, constitute one of the world's most widely recognized families of consumer brands. For more information, go to http://corporate.ralphlauren.com."
Anonymous Content,3.8,5.1K,3.3K,18 office locations in United States,51 to 200 Employees,Film Production,"Is it okay to reveal the identity of this company? Anonymous Content specializes is a multimedia production house with units devoted to Film, Integrated, Commercials, Music Video, Television, and Talent. The company represents renowned directors such as David Fincher, who had created videos for Madonna and The Rolling Stones; and Wong Kar-Wai, who has developed an ad for the BMW Films project. Director Guy Ritchie's Anonymous Content-produced Nike ad received about three million hits after it was posted on YouTube. Feature films from Anonymous Content have included ""Babel"" and ""Eternal Sunshine of the Spotless Mind"". The company, which has offices in Los Angeles, New York, and London, was founded in 1999."
Takeda Pharmaceuticals,4.1,3.9K,4.2K,18 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"Takeda is a patient-focused, values-based, R&D-driven global biopharmaceutical company. Rooted in over 240 years of distinguished history, our pursuit of potentially life-changing treatments for patients is what drives us forward today. We bring together the unique and diverse talents of a global team to deliver highly innovative medicines and transformative care to people around the world."
MD Anderson Cancer Center,4.1,2.9K,5.4K,6 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"The University of Texas MD Anderson Cancer Center in Houston ranks as one of the world's most respected centers focused on cancer patient care, research, education and prevention. The institutions sole mission is to end cancer for patients and their families around the world. MD Anderson is one of only 49 comprehensive cancer centers designated by the National Cancer Institute (NCI). MD Anderson is ranked No.1 for cancer care in U.S. News & World Reports Best Hospitals survey. It has ranked as one of the nations top two hospitals for cancer care since the survey began in 1990, and has ranked first 14 times in the last 17 years. MD Anderson receives a cancer center support grant from the NCI of the National Institutes of Health (P30 CA016672)."
Red Hat,4.3,4K,3.7K,18 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"Red Hat is the worlds leading provider of enterprise open source software solutions and services, using a community-powered approach to deliver reliable and high-performing Linux, hybrid cloud, container, and Kubernetes technologies. Red Hat helps customers develop cloud-native applications, integrate existing and new IT, and automate, secure, and manage complex environments."
University of Utah,4.2,2.8K,6.1K,6 office locations in United States,10000+ Employees,Colleges & Universities,"The University of Utah has offered instruction since long before the Beehive State was a state. Founded in 1850 as the University of Deseret, the ""U of U"" has a total enrollment of some 29,000 undergraduate and graduate students, plus about 2,800 faculty members. It offers approximately 70 undergraduate majors, more than 40 teaching majors and minors, and some 100 graduate-level fields of study at about 20 colleges and schools; its business, science, humanities, and engineering departments are the university's largest. The University of Utah confers some 7,000 baccalaureate, master's, and doctoral degrees annually. The University of Utah is one of the states largest employers. one of 81 Public Research 1 universities"
Kiewit Corporation,3.8,3.1K,4.7K,20 office locations in United States,10000+ Employees,Construction,"We exist to make a difference and we offer opportunities for you to make one too. Our construction and engineering professionals work on some of the industrys most complex, challenging and rewarding projects  whether its boring tunnels through mountains, turning rivers into energy, or building bridges that connect communities. Kiewit people tackle important projects of every size, in any market. Start your Kiewit adventure today at kiewitjobs.com. Kiewit is one of North Americas largest and most respected construction and engineering organizations. With its roots dating back to 1884, the employee-owned organization operates through a network of subsidiaries in the United States, Canada, and Mexico. Kiewit offers construction and engineering services in a variety of markets including transportation; oil, gas and chemical; power; building; water/wastewater; industrial; and mining. Kiewit had 2021 revenues of $12.1 billion and employs 28,800 staff and craft employees."
Capgemini Engineering,3.5,11.6K,1.9K,9 office locations in United States,10000+ Employees,Information Technology Support Services,"Capgemini Engineering combines, under one brand, a unique set of strengths from across the Capgemini Group: the world-leading engineering and R&D services of Altran  acquired by Capgemini in 2020 - and Capgeminis digital manufacturing expertise. With broad industry knowledge and cutting-edge technologies in digital and software, Capgemini Engineering supports the convergence of the physical and digital worlds. Combined with the capabilities of the rest of the Group, it helps clients to accelerate their journey towards Intelligent Industry. Capgemini Engineering has more than 52,000 engineer and scientist team members in over 30 countries across sectors including aeronautics, automotive, railways, communications, energy, life sciences, semiconductors, software & internet, space & defence, and consumer products. Capgemini Engineering is an integral part of the Capgemini Group, a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 270,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of 16 billion. Get the Future You Want | www.capgemini.com"
Cornell University,4.4,3K,6.1K,5 office locations in United States,10000+ Employees,Colleges & Universities,"Cornell is a private, Ivy League university recognized as a leading-edge employer and exemplary research university. Our main campus is located in Ithaca, New York, but our reach spans the globe. Cornell has campuses in New York City and Doha, Qatar, as well as dozens of research stations in New York State and beyond. Staff, faculty, and students thrive at Cornell because of its unparalleled combination of quality and breadth; its open, collaborative and innovative culture; its founding commitment to diversity and inclusion; its vibrant rural and urban campuses; and its land-grant legacy of public engagement."
FactSet,4.1,3.8K,3.1K,7 office locations in United States,10000+ Employees,Investment & Asset Management,"FactSet helps the worlds best investment professionals stay ahead of global market trends, access extensive company and industry intelligence, and monitor performance with our leading desktop analytics, mobile applications, and comprehensive data feeds. Our clients are top financial professionals, working at some of the largest investment firms in the world. FactSets success is driven by the forward-thinking engineers, innovative product developers, highly motivated support and sales specialists, and other corporate function professionals who fuel every aspect of our business from the constantly evolving financial software we develop to the unrivaled client service at our core."
Boston University,4.2,3K,6K,6 office locations in United States,10000+ Employees,Colleges & Universities,"With colleges and universities thick on the ground in Boston, Boston University (BU) amounts to more than just a hill of beans. Founded as a Methodist seminary in 1839, the private university has more than 33,000 students at its campus on the banks of the Charles River and its Medical Campus. The university offers more than 250 undergraduate, graduate, doctorate, and special degree programs at 17 colleges and schools. BU counts Nobel laureates Elie Wiesel (peace), Derek Walcott (literature), Sheldon Glashow (physics), and Osamu Shimomura (chemistry) among its more than 3,800 faculty members."
Mondelez International,4.0,6.5K,2.5K,18 office locations in United States,10000+ Employees,Food & Beverage Manufacturing,"Mondelez International, Inc. (NASDAQ: MDLZ) is one of the worlds largest snacks companies with the mission to lead the future of snacking. You could say our story began in 1761 with Frys (who produced the first modern day chocolate bar)  or when John Cadbury opened his first grocery shop in 1824  or in 1846 with the creation of LU biscuits  or in 1901 with the production of the first Nabisco cookies. But we really came together in 2012 with the creation of Mondelez International. We combine the energy and passion of a new company with the strength and heritage of 100+ year-old brands - and nearly 90,000+ employees working across 165 countries. We have the scale and resources of a big organization, together with the speed, hunger, creativity and agility of a smaller company."
CACI International,3.9,3.1K,5.3K,32 office locations in United States,10000+ Employees,Aerospace & Defense,"CACI is a $5.7 billion national security company whose mission and enterprise technology and expertise play a vital role in safeguarding our troops, and enabling our government to deliver cost-effective and high-quality support for all Americans. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide! We employ a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. Invent Your Future at CACI! To apply to our employment opportunities, visit: careers.caci.com"
DSW,3.6,3.5K,4.5K,United States,10000+ Employees,"Department, Clothing & Shoe Stores","DSW Inc. is a leading branded footwear and accessories retailer that offers a wide selection of brand name and designer dress, casual and athletic footwear and accessories for women, men and kids. DSW operates 431 stores in 42 states, the District of Columbia and Puerto Rico, as well as 370 leased departments.. We also operate an e-commerce site, http://www.dsw.com, and a mobile site, http://m.dsw.com. DSW customers are brand, value quality and style conscious shoppers who have a passion for footwear and accessories. Our core focus is to create a distinctive shopping experience that satisfies both the rational and emotional shopping needs of our DSW customers by offering them a vast, exciting assortment of in-season styles combined with the convenience and value they desire. Our DSW stores average approximately 22,000 square feet and carry approximately 24,000 pairs of shoes. We believe this combination of assortment, convenience and value differentiates us from our competitors."
SpaceX,4.0,2.8K,4.1K,13 office locations in United States,5001 to 10000 Employees,Aerospace & Defense,"We've assembled an exceptional team of scrappy innovators committed to our mission. Helping achieve these goals will be one of the most challenging and rewarding endeavors of your career. You can expect to work alongside some of the brightest individuals and get exposure to leading-edge technology, while playing a direct role in shaping the future of humankind. We seek talented individuals with a pioneering spirit and a curiosity to seek whats beyond the stars."
Edelman,3.7,3.5K,4.2K,14 office locations in United States,5001 to 10000 Employees,Advertising & Public Relations,"Edelman is a global communications firm that partners with businesses and organizations to evolve, promote and protect their brands and reputations. Our 6,000 people in more than 60 offices deliver communications strategies that give our clients the confidence to lead and act with certainty, earning the trust of their stakeholders. Our honors include PRovokes Global Agency of the Year (2022); Cannes Lions Grand Prix awards for PR (2016) and the Entertainment Lions for Sport (2021); a Gold Lion in the Sustainable Development Goals category (2022); Cannes Lions Independent Agency of the Year for the Entertainment Track (2021); Cannes Lions Co-Independent Agency of the Year for the Good Track (2022); and Advertising Ages 2019 A-List. Since our founding in 1952, we have remained an independent, family-run business. Edelman owns specialty companies Edelman Data x Intelligence (research, data), Edelman Smithfield (financial communications), Edelman Global Advisory (advisory), and United Entertainment Group (entertainment, sports, lifestyle)."
Foot Locker,3.6,4.4K,3.9K,3 office locations in United States,10000+ Employees,"Department, Clothing & Shoe Stores","Foot Locker, Inc. leads the celebration of sneaker and youth culture around the globe through a portfolio of brands including Foot Locker, Kids Foot Locker, Champs Sports, atmos, and WSS. With approximately 2,700 retail stores in 29 countries across North America, Europe, Asia, Australia and New Zealand, as well as websites and mobile apps, the Company's purpose is to inspire and empower youth culture around the world, by fueling a shared passion for self-expression and creating unrivaled experiences at the heart of the global sneaker community. Foot Locker, Inc. has its corporate headquarters in New York."
Collabera,3.8,4.3K,3.5K,34 office locations in United States,10000+ Employees,Staffing & Subcontracting,We engineer the worlds best software and experience. Our purpose is to enhance every life we touch through the power of human-centric technology.
C.H. Robinson,3.6,3.1K,4.7K,21 office locations in United States,10000+ Employees,Shipping & Trucking,"Our people thrive. Our value is clear. Together, we connect the world. At C.H. Robinson, you have the flexibility to create a career that works with your life. Join us and grow your best self here. Standing out among the worlds largest logistics platforms, C.H. Robinson solves logistics problems for companies across the globe and across industries, from the simple to the most complex. For 100+ years, our global suite of services has innovated trade to seamlessly deliver the products and goods that drive the worlds economy. With 20 million shipments annually for 100,000 customers, our people and technology literally move the world. As a Fortune 200 company, Fortune has also named C.H. Robinson one of the Worlds Most Admired Companies 2022. Headquartered in Eden Prairie, Minnesota, we are proud to be named a LinkedIn Top Company in Minneapolis-St.Paul, and recognized for our stellar responsibility to our clients by Newsweek and a host of other supply chain and tech publications. And were not stopping there Join us as we collaborate, innovate, and work as one global team to make life better and more sustainable for our customers, communities, and world. We foster a culture of inclusivity and belonging where all employees feel valued and empowered to share their diverse opinions; building high-performing, diverse leadership teams across the business. We hire and retain a diverse workforce that represents the communities where we live and work. Discover why you belong here at jobs.chrobinson.com."
Express Scripts,3.5,3.5K,4.1K,23 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"Our history: It all started with an ice axe Weve been your outdoor co-op for 82 years. REI was founded in 1938 when a group of 23 climbing friends, united by their love for the outdoors, decided to source quality and affordable gear for their adventures. Today the REI community has 19 million lifetime members, over 13,000 employees and 165 locations in 39 states and the District of Columbia. While much has changed since REIs beginnings, our passion for life outside lives on in everything we do. REI Co-op: A different kind of company Being a member-owned co-operative allows us to focus on shared values, not share value. Annually, more than 70 percent of our annual profits are invested back into the outdoor community through dividends to REI members, employee profit-sharing and retirement, and investments in nonprofits dedicated to the outdoors. Every year since 2015, we close all our stores on Black Friday. We give all our employees a day off to #OptOutside with family and friends on the busiest retail day of the year. We continue this tradition because we believe in putting purpose before profits. More than 700 organizations and millions of people have joined us. We hope you will, too. By staying true to our roots, we've earned a place on FORTUNE magazine's list of the ""100 Best Companies to Work For"" every year since the rankings began in 1998. We work hard to earn our reputation for quality and integrity every day. REI is an Equal Opportunity Employer"
REI,3.9,3.3K,4.5K,3 office locations in United States,10000+ Employees,Sporting Goods Stores,"The National Institutes of Health (NIH), through its own research and the distribution of grants, seeks to understand disease inside and out. Part of the US Department of Health and Human Services, NIH is the government's main medical research entity. It comprises 27 institutes and centers covering every medical discipline, from general medical sciences to alternative therapies. The organization has some 6,000 scientists of its own and gives out at least 50,000 grants to researchers at more than 3,000 universities, hospitals, and research labs in all 50 states. Among its vast array of projects, NIH has supported efforts to develop an AIDS vaccine, map human genetic variation, and study avian flu."
NIH,4.3,2.2K,6.7K,12 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"Our homes are the heartbeat of our lives, and we believe finding a home shouldnt be so hard in todays always-on world. Thats why were reimagining the traditional rules of real estate to make it easier than ever to move from one home to the next. Our journey began nearly 15 years ago with a handful of employees and one big idea: to make it radically easier for people to move. We began by helping people understand and track their homes with the Zestimate, our proprietary algorithm, and then with advanced technology and valuable connections with real estate professionals. Today, Zillow has become a household name. People are more likely to search for Zillow than real estate, and our name is often used as a verb. While other industries have ushered in a new era of convenience, the time for seamless and convenient real estate experience is now. This is our next chapter as a company. Were looking for smart, passionate adventurers to join us as we reimagine the real estate."
Zillow,3.9,1.8K,4.1K,8 office locations in United States,5001 to 10000 Employees,Real Estate,"Coforge is a global digital services and solutions provider, that enables its clients to transform at the intersect of domain expertise and emerging technologies to achieve real-world business impact. A focus on very select industries, a detailed understanding of the underlying processes of those industries and partnerships with leading platforms provides us a distinct perspective. Coforge leads with its product engineering approach and leverages Cloud, Data, Integration and Automation technologies to transform client businesses into intelligent, high growth enterprises. Coforges proprietary platforms power critical business processes across its core verticals. The firm has a presence in 21 countries with 25 delivery centers across nine countries."
Coforge,4.0,5.4K,4.2K,3 office locations in United States,10000+ Employees,Information Technology Support Services,"The first Red Robin restaurant opened in Seattle, Washington in September 1969 near the University of Washington campus, and it served incredible burgers that people had not seen or tasted before. As word spread of the small restaurant with the insanely delicious gourmet burgers, people all across the country started asking for a Red Robin in their hometown. Today, Red Robin employs over 27,000 Team Members and has grown to over 500 locations across the United States and Canada. Along the way, our mission in crafting craveable burgers, welcoming experiences and genuine connections for everyone who comes into our Red Robin has never stopped. And you better believe  it never will."
Red Robin,3.5,3.8K,4.7K,2 office locations in United States,10000+ Employees,Restaurants & Cafes,
SunTrust,3.8,3.3K,4.6K,39 office locations in United States,10000+ Employees,Banking & Lending,"SunTrust is an organization driven by purpose and a personal touch. We are passionate about Lighting the Way to Financial Well-Being by helping clients, teammates and communities achieve financial confidence. As one of the nation's largest and strongest financial services companies, we offer a full suite of products and services designed to meet the needs of our consumer, business, corporate and institutional clients. We know that financial stress is prevalent in America, across all income levels. Thats why we launched the onUp Movement  to inspire everyone to take a step and move from financial stress to confidence. You cant fully enjoy life if you are worried about money. Ready to get started? Join the Movement at onUp.comwere here to help."
BDO USA,3.8,2.3K,5.6K,65 office locations in United States,1001 to 5000 Employees,Accounting & Tax,"For more than 100 years, BDO USA has been recognized as a premier accounting, tax, financial advisory and consulting organization. Providing services to a wide range of publicly traded and privately held companies, BDO offers a sophisticated array of services and global capabilities, combined with the personal attention of experienced and committed professionals. BDO serves clients through 60+ offices and more than 700 independent alliance firm locations nationwide. As an independent Member Firm of BDO International Limited, BDO serves multinational clients through a global network of 1,800 offices in 162 countries."
Love's Travel Stops & Country Stores,4.1,3.6K,4.4K,United States,10000+ Employees,Convenience Stores,"Founded in 1964 by Tom Love, Loves Travel Stops and Country Stores is headquartered in Oklahoma City, and remains entirely family-owned and operated. With more than 600 locations and more than 410 Loves Truck Care and Speedco locations in 42 states, Loves approximate growth rate is 40 stores per year. To learn more, go to www.loves.com, Facebook (www.facebook.com/lovescareers), or follow @LovesTravelStop on Twitter."
Wawa,3.8,3.5K,4.9K,United States,10000+ Employees,Food & Beverage Stores,"Wawa, Inc., a privately held company, began in 1803 as an iron foundry in New Jersey. Toward the end of the 19th Century, owner George Wood took an interest in dairy farming and the family began a small processing plant in Wawa, Pa, in 1902. The milk business was a huge success, due to its quality, cleanliness and certified process. As home delivery of milk declined in the early 1960s, Grahame Wood, Georges grandson, opened the first Wawa Food Market in 1964 as an outlet for dairy products. Today, Wawa is your all day, every day stop for fresh, built-to-order foods, beverages, coffee, fuel services, and surcharge-free ATMs. A chain of more than 950 convenience retail stores (over 750 offering gasoline), Wawa stores are located in Pennsylvania, New Jersey, Delaware, Maryland, Virginia, Florida, and Washington, D.C."
Bright Horizons Family Solutions,3.7,3K,4.1K,25 office locations in United States,10000+ Employees,Preschools & Child Care Services,"Passion. Possibilities. Purpose. All three await you in a Bright Horizons career  are you ready to build a brighter future with us? For over 30 years, weve been fueled by people who know education and care can change the world. At Bright Horizons®, youll be part of a team providing world-class support  child care, elder care, guidance for careers and education  for parents and children who really need you, and for workforces around the globe who power some of the worlds best brands."
Amazon Web Services,4.0,3.3K,4K,United States,Unknown,Information Technology Support Services,"At AWS, we set out every day to innovate and disrupt the status quo. We pursue unexpected paths and try to see things from different perspectives. We create work that were proud of. Geek out over. Work we cant wait to tell our friends and family about. Work that changes resumesand the world."
BBVA,3.8,5.2K,2.9K,"1345 Avenue of the Americas, 44th floor,",10000+ Employees,Banking & Lending,"BBVA is a global company with more than 160 years of history that operates in more than 25 countries where we serve more than 80.1 million customers. We are more than 113,000 professionals working in multidisciplinary teams with profiles as diverse as financiers, legal experts, data scientists, developers, engineers and designers, engineers and designers. BBVA CIB encompasses investment banking, market activities, loans and transactional services for international corporate clients and institutional investors, with an extensive network of financial experts, investment-banking specialists and advisers in specific industries and sectors. Clients can access a wide range of value-added products and solutions to cover everything from the simplest to the most complex requirements, while enjoying support in project management in order to reach local and international business goals, and transform for a more digital, sustainable future."
UT Southwestern Medical Center,4.0,2.2K,6K,10 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"For more than 75 years, UT Southwestern Medical Center has been healing, discovering, and educating health professionals as one of the nations top academic medical centers. More than 19,000 employees strong, the UT Southwestern family is diverse and driven to succeed. We seek challenges and opportunities for growth, and we are dedicated to making a difference in the world. In other words, we are people like you. If youre ready to push boundaries and work alongside the sharpest minds in health care, technology, and biomedical science, consider joining UT Southwestern, where youll enjoy generous benefits, and a world of opportunity where you can help shape the future of medicine, today."
Booking.com,4.1,7.2K,1.4K,6 office locations in United States,10000+ Employees,Internet & Web Services,"A career at Booking.com is all about the journey, helping you explore new challenges in a place where you can be your best self. With plenty of exciting twists, turns and opportunities along the way. Weve always been pioneers, on a mission to shape the future of travel through cutting edge technology, to make it easier for everyone to enjoy amazing experiences wherever they go. Under a desert sky, or in the heart of a bustling city. Discovering the perfect hideaway, or the perfect paella. Thats why were always looking for people who search for better solutions, the ones eager to stray off the beaten path to find new ways of doing things. Because at Booking.com its more than a job, its a journey. Get to know us better at careers.booking.com"
